#;Player;Pos;Team;FPT;CR;GP;MIN;ST;PTS;REB;AST;STL;BLK;BA;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;TOV;PF;FD;+/-
1;M. Lessort;C;PAO;27.5;16.3;2;27.3;2;18.0;7.0;1.0;1.0;0.5;0.0;7.5;10.0;75.0;0.0;1.0;0.0;3.0;4.0;75.0;2.5;4.5;1.0;1.0;3.0;11.5
2;D. Oturu;C;EFS;26.7;11.4;2;24.2;2;17.5;7.5;1.0;0.5;1.5;0.5;6.5;9.0;72.2;0.0;0.0;0.0;4.5;5.5;81.8;3.0;4.5;2.5;2.5;6.5;5.5
3;N. Sako;C;ASV;24.0;9.8;2;21.4;2;12.5;7.5;1.5;2.0;1.5;0.5;5.5;7.0;78.6;0.0;0.0;0.0;1.5;2.0;75.0;4.5;3.0;0.0;2.0;2.0;-1.0
4;F. Campazzo;G;RMB;22.6;15.5;2;27.6;1;13.5;3.5;10.0;1.0;0.0;0.5;4.0;9.0;44.4;2.5;4.5;55.6;3.0;3.0;100.0;0.0;3.5;2.5;3.0;4.5;7.5
5;S. Vezenkov;F;OLY;22.5;16.4;2;27.6;2;14.0;7.5;0.5;0.5;0.0;0.0;3.5;5.5;63.6;0.5;1.5;33.3;6.5;7.5;86.7;2.0;5.5;0.5;2.0;4.0;-3.0
6;T. Blatt;G;MTA;22.3;8.1;2;27.9;2;13.5;1.5;11.0;0.5;0.0;0.5;5.0;8.5;58.8;3.0;4.0;75.0;0.5;0.5;100.0;0.0;1.5;3.0;1.0;2.0;6.5
7;T. Jones;C;PAR;22.0;10.9;2;26.8;1;16.5;4.0;1.5;1.5;0.0;0.0;6.0;7.5;80.0;0.0;0.0;0.0;4.5;7.0;64.3;1.0;3.0;1.0;3.0;6.5;-7.5
8;C. Moneke;F;BKN;21.3;15.5;2;34.5;2;16.0;5.0;3.0;0.5;0.0;0.0;5.0;9.0;55.6;0.5;3.5;14.3;5.5;5.5;100.0;2.0;3.0;2.5;2.0;4.5;4.0
9;T. Maledon;G;ASV;21.2;11.2;2;28.6;2;14.0;3.5;4.0;1.0;0.0;1.0;4.0;8.5;47.1;0.5;1.5;33.3;5.5;6.0;91.7;0.5;3.0;1.0;1.0;5.5;-5.0
10;J. Rivero;C;MTA;21.2;10.9;2;26.9;2;12.0;6.5;1.5;2.0;1.5;0.0;5.5;8.0;68.8;0.0;0.5;0.0;1.0;2.0;50.0;1.5;5.0;1.0;2.5;3.5;0.5
11;T. Shorts;G;PBB;21.0;13.6;2;27.5;2;16.5;3.5;6.0;1.5;0.0;0.0;6.5;13.0;50.0;0.0;1.5;0.0;3.5;4.5;77.8;0.0;3.5;1.5;2.0;4.5;-5.0
12;S. Shields;F;EA7;20.5;14.9;2;29.3;2;15.5;4.0;3.5;1.0;0.0;0.0;4.5;9.5;47.4;1.0;3.0;33.3;5.5;7.5;73.3;0.5;3.5;2.5;1.5;6.0;-6.0
13;I. Cordinier;G;VIR;20.5;11.0;2;31.2;2;19.5;5.0;4.0;0.0;0.0;0.5;7.0;11.5;60.9;1.5;4.0;37.5;4.0;4.5;88.9;1.5;3.5;3.0;3.5;4.0;-3.5
14;A. Diallo;F;ASM;19.8;12.7;2;29.4;1;14.5;5.5;2.5;1.0;0.0;0.0;5.0;8.5;58.8;1.0;1.5;66.7;3.5;4.5;77.8;3.0;2.5;1.0;3.0;3.0;8.0
15;K. Nunn;G;PAO;19.3;13.1;2;30.8;2;16.5;3.5;5.5;1.0;0.0;1.0;5.5;13.5;40.7;2.0;5.5;36.4;3.5;3.5;100.0;0.0;3.5;1.0;1.5;2.5;15.0
16;S. Francisco;G;ZAL;19.1;10.2;2;20.5;0;16.0;2.5;4.5;1.0;0.0;0.5;4.5;10.5;42.9;3.0;7.0;42.9;4.0;5.5;72.7;1.0;1.5;1.0;2.5;5.5;0.5
17;M. James;G;ASM;18.2;16.1;2;24.9;2;13.0;1.0;5.5;1.5;0.0;0.5;3.5;10.0;35.0;1.5;5.5;27.3;4.5;5.5;81.8;0.0;1.0;0.0;1.0;4.5;9.0
18;S. Napier;G;BAY;17.7;13.0;2;20.8;0;16.5;2.0;1.5;1.5;0.0;0.5;5.0;8.0;62.5;2.5;3.5;71.4;4.0;4.5;88.9;1.0;1.0;3.0;1.5;3.5;10.5
