#;Player;Pos;Team;FPT;CR;GP;MIN;ST;PTS;REB;AST;STL;BLK;BA;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;TOV;PF;FD;+/-
115;T. Blatt;G;MTA;8.3;0.0;38;18.9;0;7.0;1.5;4.8;0.4;0.0;0.1;2.3;5.7;41.4;1.8;4.6;39.3;0.6;0.6;87.5;0.2;1.3;1.8;1.5;0.8;0.0
116;G. Procida;F;BER;8.1;0.0;25;17.5;3;8.3;1.6;0.9;1.4;0.4;0.3;2.9;6.9;42.2;1.1;3.7;29.0;1.4;1.8;75.6;0.5;1.1;1.0;0.8;1.8;0.0
117;J. Mickey;C;VIR;8.1;0.0;26;18.2;4;8.2;4.0;0.6;0.4;0.7;0.3;3.2;6.7;48.3;0.7;1.6;41.5;1.0;1.5;67.5;1.5;2.4;1.3;1.9;1.4;0.0
118;T. Dorsey;G;FBB;8.0;7.3;38;17.6;16;8.7;1.8;1.2;0.2;0.1;0.3;2.9;6.5;44.1;1.6;3.4;45.4;1.4;1.7;83.1;0.4;1.4;1.0;1.5;2.2;0.0
119;M. Thomas;G;BER;8.0;0.0;30;22.0;19;10.1;2.0;1.6;0.5;0.0;0.1;3.5;7.7;44.8;2.1;4.9;43.2;1.1;1.2;88.9;0.4;1.5;1.2;1.4;0.9;0.0
120;M. Daum;F;EFS;7.9;0.0;11;19.8;4;9.4;2.2;0.3;0.5;0.2;0.0;3.5;6.5;53.5;1.7;4.2;41.3;0.7;0.7;100.0;0.5;1.6;0.5;2.1;0.7;0.0
121;N. Weiler-babb;G;BAY;7.9;0.0;34;21.8;4;6.2;3.2;2.1;0.7;0.1;0.1;2.2;5.0;43.8;1.4;3.5;38.7;0.5;0.6;85.0;0.9;2.3;0.9;2.2;1.2;0.0
122;K. Hayes;C;ZAL;7.8;0.0;34;18.7;15;5.6;4.0;0.5;0.7;0.7;0.4;2.4;4.2;56.6;0.1;0.1;66.7;0.8;1.0;77.1;1.8;2.2;0.9;2.0;1.2;0.0
123;G. Papagiannis;C;FBB;7.6;7.3;38;16.0;11;5.7;3.1;0.8;0.3;0.8;0.0;2.4;3.9;61.7;0.5;1.1;48.8;0.3;0.5;66.7;1.0;2.0;0.7;1.7;0.6;0.0
124;I. Bonga;F;BAY;7.5;0.0;31;19.9;21;5.8;4.2;1.2;0.7;0.3;0.1;2.1;4.8;43.9;0.6;2.2;29.9;1.0;1.3;79.5;1.3;2.9;1.3;2.5;1.7;0.0
