#;Player;Pos;Team;FPT;CR;GP;MIN;ST;PTS;REB;AST;STL;BLK;BA;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;TOV;PF;FD;+/-
207;T. Schneider;F;BER;3.2;0.0;33;16.1;9;4.4;2.2;0.6;0.3;0.0;0.2;1.8;4.3;40.8;0.6;2.5;25.6;0.2;0.5;53.3;0.8;1.3;0.5;1.7;0.8;0.0
208;N. Sestina;F;FBB;3.1;4.2;35;11.5;4;3.6;1.5;0.4;0.3;0.2;0.0;1.3;2.8;46.5;0.7;1.9;38.5;0.3;0.5;58.8;0.4;1.2;0.2;1.7;0.5;0.0
209;D. Flaccadori;G;EA7;3.1;0.0;26;13.9;8;4.6;1.0;1.1;0.7;0.0;0.1;1.6;4.3;37.5;0.5;1.6;28.6;0.9;1.0;88.9;0.0;1.0;0.8;1.9;1.0;0.0
210;A. Samodurov;F;PAO;3.0;4.0;1;1.4;0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;50.0;1.0;1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211;M. Tobey;C;CZV;3.0;0.0;30;10.9;2;3.7;2.3;0.3;0.2;0.4;0.1;1.5;3.7;40.2;0.4;1.5;26.7;0.3;0.4;61.5;0.9;1.4;0.5;1.6;0.5;0.0
212;J. Parra;F;BAR;3.0;0.0;26;13.1;1;3.0;2.2;0.4;0.2;0.1;0.0;1.1;3.0;35.9;0.5;1.7;27.3;0.3;0.5;69.2;0.8;1.3;0.4;1.3;0.7;0.0
213;U. Trifunovic;F;PAR;3.0;0.0;19;13.9;5;2.8;1.5;0.5;0.3;0.1;0.0;1.0;2.4;42.2;0.4;1.3;32.0;0.4;0.4;100.0;0.5;1.0;0.3;1.3;0.7;0.0
214;J. Hollatz;G;EFS;2.9;0.0;24;10.4;11;2.3;1.2;1.3;0.4;0.0;0.0;0.9;2.2;41.5;0.2;0.9;22.7;0.2;0.3;83.3;0.4;0.8;0.3;1.2;0.3;0.0
215;N. Giffey;F;BAY;2.8;0.0;31;13.1;7;3.0;1.7;0.4;0.5;0.0;0.1;1.1;2.9;38.2;0.4;1.5;27.7;0.4;0.5;73.3;0.5;1.1;0.3;1.5;0.7;0.0
216;D. Lighty;F;ASV;2.8;0.0;29;16.5;25;3.3;1.4;1.0;0.6;0.0;0.1;1.2;3.2;37.6;0.5;1.5;34.9;0.4;0.5;73.3;0.3;1.2;0.5;1.9;0.8;0.0
217;O. Jaramaz;G;PAR;2.8;0.0;22;12.8;6;3.2;1.3;1.5;0.5;0.0;0.1;1.3;3.4;37.3;0.4;1.7;21.1;0.3;0.7;46.7;0.4;1.0;0.5;2.0;1.3;0.0
218;K. Diop;C;BKN;2.7;0.0;13;9.4;1;2.8;1.9;0.3;0.2;0.2;0.0;1.0;1.9;52.0;0.0;0.0;0.0;0.8;1.2;62.5;1.0;0.9;0.9;1.5;1.1;0.0
219;C. Chiozza;G;BKN;2.7;0.0;26;10.3;2;1.9;1.0;2.4;0.5;0.1;0.2;0.7;2.3;30.0;0.3;1.3;20.6;0.3;0.4;70.0;0.1;0.9;0.9;1.1;0.6;0.0
220;I. Brazdeikis;F;OLY;2.6;4.0;27;10.9;5;3.6;1.7;0.6;0.2;0.1;0.3;1.3;3.9;33.7;0.3;1.1;22.6;0.7;1.0;74.1;0.5;1.2;0.3;1.3;1.0;0.0
221;J. Theodore;G;BKN;2.6;0.0;12;9.8;1;3.5;0.7;1.1;0.2;0.0;0.1;1.3;2.3;55.6;0.2;0.5;33.3;0.8;1.0;83.3;0.3;0.4;0.9;1.3;0.5;0.0
222;D. Ilic;F;CZV;2.6;0.0;15;8.8;4;2.0;1.7;0.4;0.2;0.1;0.1;0.9;1.5;59.1;0.2;0.5;42.9;0.1;0.3;25.0;0.6;1.1;0.2;1.2;0.5;0.0
223;F. Gillespie;C;CZV;2.6;0.0;28;8.6;3;2.4;2.1;0.4;0.3;0.4;0.2;1.0;1.9;54.7;0.0;0.0;0.0;0.3;0.6;52.9;0.9;1.3;0.4;2.2;0.8;0.0
224;J. Mattisseck;G;BER;2.5;0.0;26;12.2;2;3.3;0.6;0.5;0.3;0.0;0.0;1.1;2.6;41.2;0.9;2.0;43.4;0.3;0.3;100.0;0.1;0.5;0.3;1.8;1.2;0.0
225;Z. Samar;G;BER;2.5;0.0;14;12.4;3;3.4;1.4;2.2;0.8;0.0;0.2;1.3;3.6;36.0;0.4;1.1;40.0;0.4;0.5;85.7;0.5;0.9;2.0;2.1;1.3;0.0
226;P. Cornelie;F;ASM;2.5;0.0;28;9.9;3;2.8;1.8;0.7;0.3;0.3;0.0;1.1;2.5;42.3;0.5;1.5;33.3;0.2;0.4;45.5;0.8;1.0;0.5;1.6;0.3;0.0
227;J. Puerto;G;VBC;2.4;0.0;25;13.3;11;3.2;2.4;0.4;0.2;0.0;0.4;1.2;3.2;36.7;0.4;1.6;26.8;0.4;0.4;90.9;0.8;1.6;1.0;1.2;0.8;0.0
228;R. Lomazs;G;VIR;2.4;0.0;8;7.8;0;3.3;0.5;0.3;0.0;0.0;0.0;1.1;2.1;52.9;0.5;1.0;50.0;0.5;0.6;80.0;0.0;0.5;0.5;1.1;1.1;0.0
229;E. Rapieque;F;BER;2.3;0.0;6;4.4;0;2.3;0.5;0.5;0.0;0.0;0.0;0.7;1.3;50.0;0.5;0.8;60.0;0.5;0.5;100.0;0.5;0.0;0.7;0.3;0.7;0.0
230;J. Cohen;F;MTA;2.3;0.0;36;10.3;31;3.0;1.2;0.9;0.2;0.0;0.1;1.2;2.6;46.7;0.5;1.3;37.8;0.1;0.1;100.0;0.3;0.9;0.3;1.9;0.5;0.0
231;P. Kalaitzakis;F;PAO;2.2;4.3;30;5.9;0;2.1;0.9;0.2;0.2;0.0;0.0;0.8;1.6;51.0;0.2;0.7;25.0;0.3;0.3;100.0;0.3;0.6;0.2;0.8;0.4;0.0
232;E. Yilmaz;F;EFS;2.2;0.0;14;8.9;3;1.4;1.8;1.0;0.6;0.3;0.0;0.6;1.6;34.8;0.3;1.0;28.6;0.0;0.3;0.0;0.5;1.3;0.4;1.7;0.4;0.0
233;O. Pauli;F;BAR;2.2;0.0;14;6.7;0;2.4;1.1;0.6;0.1;0.1;0.0;1.0;2.2;45.2;0.1;1.1;12.5;0.2;0.3;75.0;0.4;0.8;0.5;0.9;0.6;0.0
234;L. Mari;G;VBC;2.2;0.0;1;2.4;0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0
235;D. Radoncic;F;BAY;2.1;0.0;16;9.0;0;1.3;2.1;0.4;0.3;0.1;0.1;0.4;0.9;42.9;0.1;0.2;33.3;0.4;0.7;63.6;0.8;1.3;0.6;1.3;0.5;0.0
236;J. Thomasson;G;MTA;2.1;0.0;4;6.7;0;1.0;1.5;1.3;0.8;0.5;0.0;0.3;2.5;10.0;0.0;1.5;0.0;0.5;0.5;100.0;0.0;1.5;0.8;0.8;0.5;0.0
237;R. Menco;F;MTA;1.9;0.0;20;8.3;0;2.7;1.4;0.3;0.2;0.1;0.1;1.0;2.4;42.6;0.6;1.3;42.3;0.1;0.2;50.0;0.4;1.0;0.5;1.2;0.3;0.0
238;D. Moraitis;G;PAO;1.8;4.0;7;2.4;0;1.6;0.3;0.7;0.3;0.0;0.1;0.6;1.1;50.0;0.4;0.6;75.0;0.0;0.0;0.0;0.0;0.3;0.3;0.1;0.0;0.0
239;C. Alocen;G;RMB;1.8;4.0;12;8.8;3;1.5;1.3;1.4;0.2;0.1;0.2;0.6;2.7;21.9;0.1;0.9;9.1;0.3;0.4;60.0;0.1;1.3;0.7;1.0;1.1;0.0
240;N. Wimberg;F;BAY;1.8;0.0;12;7.8;0;1.3;1.3;0.4;0.1;0.3;0.0;0.4;1.0;41.7;0.2;0.5;33.3;0.3;0.3;75.0;0.5;0.8;0.3;1.1;0.3;0.0
241;E. Mantzoukas;F;PAO;1.7;4.0;14;7.3;0;1.9;1.0;0.1;0.1;0.0;0.1;0.6;1.1;56.3;0.6;0.9;66.7;0.1;0.2;33.3;0.3;0.7;0.1;0.8;0.1;0.0
242;K. Robertson;G;VBC;1.7;0.0;30;15.7;16;4.1;1.3;0.7;0.3;0.0;0.2;1.3;4.2;30.7;0.8;2.9;27.9;0.7;1.1;64.7;0.3;1.0;0.7;1.5;0.8;0.0
243;D. Lavrinovicius;F;ZAL;1.6;0.0;20;6.2;2;1.3;1.5;0.2;0.1;0.1;0.1;0.5;1.1;40.9;0.2;0.7;28.6;0.2;0.3;66.7;0.6;1.0;0.3;0.9;0.4;0.0
244;K. Nikic;C;BER;1.2;0.0;17;6.1;5;1.5;0.7;0.4;0.2;0.1;0.1;0.6;1.4;43.5;0.0;0.0;0.0;0.3;0.4;83.3;0.2;0.5;0.4;0.8;0.5;0.0
245;B. Lazic;G;CZV;1.2;0.0;22;13.8;16;2.7;1.5;0.4;0.4;0.0;0.0;0.9;2.7;32.2;0.5;1.7;28.9;0.5;0.5;91.7;0.6;0.8;0.3;2.6;0.9;0.0
246;N. Mitrou-long;G;OLY;1.1;4.0;18;9.2;0;2.9;0.7;1.1;0.3;0.0;0.3;1.2;3.6;32.8;0.4;1.9;22.9;0.2;0.3;60.0;0.1;0.6;0.8;1.1;0.6;0.0
247;G. Caruso;F;EA7;1.1;0.0;5;2.1;0;1.0;0.2;0.0;0.2;0.0;0.0;0.2;0.4;50.0;0.2;0.2;100.0;0.4;0.4;100.0;0.0;0.2;0.0;0.4;0.2;0.0
248;K. Jakucionis;G;BAR;1.1;0.0;1;1.6;0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0
249;N. Yaacov;G;ASV;1.1;0.0;26;10.1;2;2.2;0.7;1.3;0.3;0.0;0.3;0.8;2.5;32.8;0.1;0.7;11.8;0.5;0.7;72.2;0.2;0.6;0.7;1.5;0.9;0.0
250;N. Montvila;G;ZAL;0.8;0.0;4;0.8;0;0.8;0.0;0.0;0.0;0.0;0.0;0.3;0.3;100.0;0.3;0.3;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
251;M. Mahmutoglu;G;FBB;0.7;4.0;9;4.5;0;1.6;0.1;0.1;0.1;0.0;0.0;0.6;1.7;33.3;0.4;1.3;33.3;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0
252;N. Weidemann;G;BAY;0.7;0.0;6;4.5;2;1.3;0.8;0.7;0.0;0.0;0.0;0.5;1.3;37.5;0.3;0.8;40.0;0.0;0.2;0.0;0.2;0.7;0.7;0.8;0.3;0.0
253;S. Lazarevic;F;CZV;0.6;0.0;19;6.9;2;1.2;0.9;0.2;0.2;0.0;0.1;0.5;0.9;50.0;0.1;0.3;33.3;0.1;0.1;100.0;0.2;0.7;0.2;1.4;0.3;0.0
254;T. Tarpey;F;ASM;0.5;0.0;6;10.0;2;1.2;1.2;0.8;0.5;0.2;0.0;0.3;1.3;25.0;0.2;0.3;50.0;0.3;0.3;100.0;0.3;0.8;0.5;2.2;0.3;0.0
255;D. Butka;F;ZAL;0.4;0.0;3;3.8;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.3;0.7;0.0;0.0;0.0;0.0
256;M. Lountzis;G;OLY;0.3;4.0;14;8.3;1;1.5;0.6;0.4;0.3;0.1;0.2;0.5;2.1;24.1;0.1;1.2;11.8;0.4;0.6;62.5;0.0;0.6;0.4;0.9;0.6;0.0
257;I. Kharchenkov;G;BAY;0.3;0.0;4;8.8;0;2.0;1.0;0.8;0.3;0.0;0.5;0.8;3.3;23.1;0.3;2.0;12.5;0.3;0.5;50.0;0.5;0.5;0.3;1.3;1.0;0.0
258;S. Raieste;F;BKN;0.2;0.0;30;6.6;8;0.9;0.6;0.3;0.1;0.0;0.0;0.4;1.0;35.5;0.1;0.6;22.2;0.0;0.0;0.0;0.1;0.5;0.2;1.2;0.2;0.0
259;G. Ricci;F;EA7;0.1;0.0;22;7.0;2;0.8;1.1;0.1;0.3;0.1;0.0;0.3;1.4;22.6;0.2;1.0;17.4;0.0;0.0;0.0;0.5;0.6;0.0;1.4;0.1;0.0
260;O. Mayer;G;MTA;0.1;0.0;5;3.1;0;0.6;0.2;0.4;0.0;0.0;0.0;0.2;1.0;20.0;0.2;1.0;20.0;0.0;0.0;0.0;0.0;0.2;0.2;0.2;0.0;0.0
261;S. Hazer;G;FBB;0.0;4.0;6;5.7;0;0.3;0.7;0.2;0.0;0.0;0.2;0.0;0.7;0.0;0.0;0.2;0.0;0.3;0.7;50.0;0.2;0.5;0.2;0.5;0.7;0.0
262;H. Mestoglu;F;FBB;0.0;4.0;1;2.4;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
263;G. Tanoulis;C;OLY;0.0;4.0;1;1.1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
264;R. Oncel;G;EFS;0.0;0.0;2;5.1;0;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;50.0;0.0;0.0;0.0;1.5;0.5;0.0
265;B. Yildizli;F;EFS;0.0;0.0;1;1.6;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
266;T. Thompkins;F;CZV;0.0;0.0;1;10.2;0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;33.3;1.0;2.0;50.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0
267;H. Gonzalez;F;RMB;-0.2;4.0;6;4.4;1;0.7;0.2;0.2;0.0;0.0;0.0;0.2;0.8;20.0;0.0;0.7;0.0;0.3;0.3;100.0;0.0;0.2;0.3;1.0;0.5;0.0
268;B. Mascolo;G;VIR;-0.5;0.0;2;4.9;0;1.0;0.5;0.0;0.0;0.0;0.0;0.5;2.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;1.0;0.5;0.0
269;V. Hrabar;F;BKN;-0.9;0.0;1;0.8;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
270;D. Sarr;G;BAR;-0.9;0.0;3;1.5;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
271;M. Tunca;G;EFS;-1.0;0.0;3;1.6;0;0.0;0.0;0.0;1.0;0.0;0.3;0.0;1.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0
272;E. Gazi;G;EFS;-1.3;0.0;10;8.7;3;0.9;0.5;0.4;0.1;0.0;0.3;0.3;2.3;13.0;0.1;1.7;5.9;0.2;0.4;50.0;0.2;0.3;0.5;0.9;0.6;0.0
273;I. Diagne;C;RMB;-1.8;4.0;2;3.1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.5;0.0;0.0
274;S. De Larrea;G;VBC;-2.0;0.0;1;16.5;0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;2.0;1.0;0.0
275;K. Lukosiunas;G;ZAL;-2.0;0.0;1;11.7;0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;33.3;2.0;6.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
